experiment,model_name,dataset,selected_threshold,val_f2,test_f2,val_pr_auc,test_pr_auc,val_roc_auc,test_roc_auc,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1,best_iteration,params_changed,notes
baseline_reference,Model B,no_covid,0.1,0.112567,0.101593,0.149838,0.056268,0.740288,0.675522,,,,,,,,"max_depth=6, learning_rate=0.05, n_estimators=1500, min_child_weight=5, subsample=0.8, colsample_bytree=0.8",Frozen reference row from original no-COVID notebook
exp_7_lower_pos_weight_balanced_regularized,Lower class weight + balanced regularization,no_covid,0.3,0.20998750554189674,0.1458984760582575,0.15413135462515165,0.05821147243937543,0.7463585918498857,0.680187087638876,0.06034982045638828,0.5524188204108681,0.10881228054145074,0.03574465429411719,0.635506241331484,0.06768244495816007,673.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(26.62674568087041), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 3000, 'min_child_weight': 8, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'gamma': 0.5, 'reg_alpha': 0.05, 'reg_lambda': 2.5}","Reduce scale_pos_weight by 20%, use max_depth=5, slower learning, more trees, light gamma/L1/L2 regularization, and lower sampling"
exp_4_lower_lr_more_trees,Model B slower learning,no_covid,0.3,0.19106709947816083,0.13742235809843456,0.1448831459260463,0.055738570886362915,0.743628750603408,0.67757046620977,0.050816895251625596,0.6163021868787276,0.09389197375063099,0.03270903296609136,0.6882801664355063,0.062450252160589956,460.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 6, 'learning_rate': 0.03, 'n_estimators': 2500, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Lower learning rate to 0.03 and increase trees to 2500
exp_5_combined_model,Combined tuned model,no_covid,0.3,0.19038100381245618,0.1362831425097316,0.15558448091400995,0.058190307270108266,0.7468620332950076,0.6778127199143353,0.050315805170044844,0.6261100066269052,0.09314614717248994,0.032329150762896976,0.694868238557559,0.061783775284640075,761.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 5, 'learning_rate': 0.03, 'n_estimators': 2500, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}","Combine lower depth, stronger regularization, slower learning, lower sampling"
exp_1_threshold_tuning,Model B (threshold tuned),no_covid,0.3,0.19010585439619787,0.136784458730759,0.14983802718652794,0.05626771118971871,0.7402882994973214,0.6755220469598181,0.05074633486370794,0.60649436713055,0.09365630020773852,0.03262892367317619,0.677253814147018,0.06225834727866762,311.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 6, 'learning_rate': 0.05, 'n_estimators': 1500, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Same reference model; optimize threshold by validation F2
exp_3_regularization,Model B + regularization,no_covid,0.3,0.18809457534426013,0.1363668849196532,0.14723638682384685,0.05597857414260672,0.7377109625507103,0.6763136746586844,0.04996411717373812,0.609012591119947,0.09235159932067812,0.03241233772597495,0.6880721220527046,0.06190841647480174,259.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 6, 'learning_rate': 0.05, 'n_estimators': 1500, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50, 'gamma': 1, 'reg_alpha': 0.1, 'reg_lambda': 2.0}",Add gamma/L1/L2 regularization to reduce overfitting
exp_2_lower_max_depth,Model B depth=4,no_covid,0.3,0.1852666884195989,0.13372818920062324,0.14894492979235702,0.05492880575206342,0.7485318589622925,0.6764051890048899,0.048059604539236044,0.6471835652750165,0.0894748414996152,0.03142084782951281,0.719001386962552,0.06021045785035657,436.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(33.28343210108801), 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 1500, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}",Reduce tree depth from 6 to 4 to improve generalization
exp_6_higher_pos_weight_slower_learning,Higher class weight + slower learning,no_covid,0.3,0.17232158572415007,0.12920524238994402,0.14664274999458404,0.05561923287008278,0.7417188398429135,0.6774429439850508,0.04331365175517705,0.6747514910536779,0.08140194910579375,0.029978818558607078,0.7488904299583912,0.0576498567962396,607.0,"{'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'scale_pos_weight': np.float64(39.940118521305614), 'max_depth': 6, 'learning_rate': 0.02, 'n_estimators': 3000, 'min_child_weight': 8, 'subsample': 0.75, 'colsample_bytree': 0.75, 'random_state': 42, 'n_jobs': -1, 'early_stopping_rounds': 50}","Increase scale_pos_weight by 20%, lower learning rate to 0.02, increase trees to 3000, slightly stronger child weight and sampling regularization"
